EDA452	1		Grundläggande Datorteknik
TMV216	1		Linjär algebra
DAT036	2		Datastrukturer
TIF085	2		Fysik för ingenjörer
ERE102	3		Reglerteknik
TDA555	1		Introduktion till funktionell programmering
TMV210	1		Inledande diskret matematik
DAT042	2		Objektorienterad programmering
MVE055	2		Matematisk statistik och diskret matematik
SSY080	3		Transformer, signaler och system
DAT043	1		Objektorienterad programmering
EDA321	2		Digitalteknik-syntes
TMV170	1		Matematisk analys
DAT121	2		Programming paradigms
TDA382	2		Parallell programmering
